"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.0261498468201119,0.0012837441922526,0.317233154442457,0.00247558390149537,"sine","AR",0.166666666666667
"2","LAWS","LAWS","","",NA,NA,0.0418214508441268,0.00140281297844113,0.388252832438879,0.00189491749497289,"sine","AR",0.166666666666667
"3","SABHA","SABHA","","",NA,NA,0.0410229801164985,0.00137985363100286,0.382349433512224,0.00209447489462799,"sine","AR",0.166666666666667
"4","FOCR-O3-RAW","FOCR (overlap)","3","",0.0224844008526756,0.00124507808100989,0.0296266396463326,0.00135635758679763,0.351282051282051,0.00254557670793786,"sine","AR",0.166666666666667
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.015261709277396,0.00130229488123281,0.281276088252832,0.00243212976165491,"sine","AR",0.166666666666667
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0178552497792741,0.00130856671761543,0.300894454382826,0.00251694497131985,"sine","AR",0.166666666666667
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0152436707107582,0.00128556643162551,0.288849135360763,0.00261923023929922,"sine","AR",0.166666666666667
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0239973177562102,0.00129015087301225,0.0239973177562102,0.00129015087301225,0.32093023255814,0.00262553609969386,"sine","AR",0.166666666666667
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.0125503663308754,0.00111724169125107,0.254859868813357,0.00232638441154368,"sine","AR",0.166666666666667
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0129059727875583,0.00113269117070273,0.274955277280859,0.0025820032862169,"sine","AR",0.166666666666667
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.012172292240477,0.00112483755306882,0.267262969588551,0.002586816404575,"sine","AR",0.166666666666667
"12","FOCR-O11-RAW","FOCR (overlap)","11","",0.0195418842515606,0.00142652026711544,0.0330462960746168,0.0017789778784469,0.450447227191413,0.00257573921278329,"sine","AR",0.166666666666667
