"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.0127179114774931,0.00136238252475115,0.0357185450208706,0.00207302981179034,"sine","any",0.166666666666667
"2","LAWS","LAWS","","",NA,NA,0.0707886733856067,0.00598162479294442,0.166726296958855,0.00707171885821482,"sine","any",0.166666666666667
"3","SABHA","SABHA","","",NA,NA,0.070698035826985,0.00620233433669515,0.130351818723912,0.00687102755050882,"sine","any",0.166666666666667
"4","FOCR-O3-RAW","FOCR (overlap)","3","",NA,NA,0.0152562003052199,0.00164330068008895,0.0542635658914729,0.00295762158902253,"sine","any",0.166666666666667
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0102517447819757,0.00135216087653611,0.0320810971973763,0.00187804792230986,"sine","any",0.166666666666667
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0120420701589353,0.00135863613518824,0.0358378056052475,0.00219159938526283,"sine","any",0.166666666666667
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0084619093539055,0.00117079069758215,0.0284436493738819,0.00184587400409994,"sine","any",0.166666666666667
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",NA,NA,0.0140437922198928,0.0015235631632219,0.0427549194991055,0.00234165135912235,"sine","any",0.166666666666667
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00830308529945554,0.00123116372243862,0.0221824686940966,0.00143801589433804,"sine","any",0.166666666666667
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00924506387921022,0.00141231987310769,0.0241502683363149,0.0016018675870243,"sine","any",0.166666666666667
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00907526462757322,0.00141383134634452,0.0204531902206321,0.00146203769751059,"sine","any",0.166666666666667
"12","FOCR-O11-RAW","FOCR (overlap)","11","",NA,NA,0.0596742741336608,0.00646496977316408,0.143172331544425,0.00660527691173084,"sine","any",0.166666666666667
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.048764710330341,0.00621443431843004,0.0819320214669052,0.00365224607969708,"sine","any",0.166666666666667
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0507126284965235,0.00624954048236078,0.1144305307096,0.00541044805188937,"sine","any",0.166666666666667
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0489603395238094,0.00623517763769446,0.0926654740608229,0.00477770197094569,"sine","any",0.166666666666667
"16","FOCR-D11-RAW","FOCR (disjoint)","11","",NA,NA,0.0513481084133258,0.00629218418277122,0.104233750745379,0.004884513936266,"sine","any",0.166666666666667
"17","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0440465644063229,0.00616124449126951,0.0674418604651163,0.00327535078362423,"sine","any",0.166666666666667
"18","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0470303878344375,0.00616206601356052,0.0815146094215862,0.00420279966544802,"sine","any",0.166666666666667
"19","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.042709876193214,0.00613795131887306,0.062432915921288,0.00370100108723043,"sine","any",0.166666666666667
"20","FOCR-O21-RAW","FOCR (overlap)","21","",NA,NA,0.0692287529245079,0.00649735703521978,0.195110316040549,0.00848175172949103,"sine","any",0.166666666666667
"21","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0460745808285747,0.006178514053931,0.0807394156231366,0.0035557732295604,"sine","any",0.166666666666667
"22","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0547133995315009,0.00641310154572876,0.133989266547406,0.00609578840319927,"sine","any",0.166666666666667
"23","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0520999257842587,0.00636058088339505,0.106261180679785,0.00534141167918831,"sine","any",0.166666666666667
"24","FOCR-D21-RAW","FOCR (disjoint)","21","",NA,NA,0.0619248212105355,0.00629138868208691,0.127072152653548,0.00552661398607281,"sine","any",0.166666666666667
"25","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.0442946337698529,0.00616324817439232,0.0804412641621944,0.00361479202780723,"sine","any",0.166666666666667
"26","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.0473656631314859,0.0062245425234463,0.102206320810972,0.00485052759637629,"sine","any",0.166666666666667
"27","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.0442703387147832,0.00618801006503578,0.0774597495527728,0.00425419549345165,"sine","any",0.166666666666667
"28","BH","BH","","",NA,NA,0.00717444016545429,0.00102954801925221,0.027072152653548,0.00182216622205378,"sine","any",0.189189189189189
"29","LAWS","LAWS","","",NA,NA,0.025731180289282,0.00211197775975318,0.178413834227788,0.00578268467565469,"sine","any",0.189189189189189
"30","SABHA","SABHA","","",NA,NA,0.0240875790738758,0.00203563859331806,0.115742397137746,0.00604113001527899,"sine","any",0.189189189189189
"31","FOCR-O3-RAW","FOCR (overlap)","3","",NA,NA,0.00741658066735466,0.0010958483819066,0.0419797257006559,0.00267564046036899,"sine","any",0.189189189189189
"32","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00614035087719298,0.00112106956214508,0.024448419797257,0.00181863682943542,"sine","any",0.189189189189189
"33","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00603674540682415,0.00110215387774443,0.0270125223613596,0.00209168746015435,"sine","any",0.189189189189189
"34","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00606060606060606,0.00110651021718215,0.0227787716159809,0.00182949948904866,"sine","any",0.189189189189189
"35","FOCR-D3-RAW","FOCR (disjoint)","3","",NA,NA,0.00726851851851852,0.00100799182058532,0.0329159212880143,0.00209240542080846,"sine","any",0.189189189189189
"36","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00576131687242798,0.00105186773732131,0.0175313059033989,0.00134028947855325,"sine","any",0.189189189189189
"37","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00526315789473684,0.000960916767552923,0.0184853905784138,0.00153619271361116,"sine","any",0.189189189189189
"38","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00515873015873016,0.000941850958672905,0.0168157423971377,0.0014075083788835,"sine","any",0.189189189189189
"39","FOCR-O11-RAW","FOCR (overlap)","11","",NA,NA,0.0125192243054523,0.00144459875719564,0.110793082886106,0.005454942548333,"sine","any",0.189189189189189
"40","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00739316239316239,0.00104713234400074,0.0641621943947525,0.00312596958032109,"sine","any",0.189189189189189
"41","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0089323711506489,0.00116053024138422,0.0843172331544425,0.00427135538498672,"sine","any",0.189189189189189
"42","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.00702434820081879,0.00106630062728793,0.0656529516994633,0.0036958557911141,"sine","any",0.189189189189189
"43","FOCR-D11-RAW","FOCR (disjoint)","11","",NA,NA,0.00553359683794466,0.00101029193742718,0.0801431127012522,0.0041615704128013,"sine","any",0.189189189189189
"44","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.00393374741200828,0.000718200731028168,0.0515802027429934,0.00269551680657553,"sine","any",0.189189189189189
"45","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.00376647834274953,0.000687661716892864,0.0608825283243888,0.00329469746380294,"sine","any",0.189189189189189
"46","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.00326797385620915,0.000596647666127632,0.0446034585569469,0.00280347379861635,"sine","any",0.189189189189189
"47","FOCR-O21-RAW","FOCR (overlap)","21","",NA,NA,0.0157984191058991,0.00166045111559395,0.161836612999404,0.00702222346641629,"sine","any",0.189189189189189
"48","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.00638283398171952,0.000867689582991116,0.0688133571854502,0.00308104921529038,"sine","any",0.189189189189189
"49","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.00924679487179487,0.00120591685731284,0.110077519379845,0.00522451049250414,"sine","any",0.189189189189189
"50","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0074320756083302,0.00100866641243129,0.0800834824090638,0.00459231174751813,"sine","any",0.189189189189189
"51","FOCR-D21-RAW","FOCR (disjoint)","21","",NA,NA,0.00840984541964934,0.0012052030504086,0.115444245676804,0.00521257472486873,"sine","any",0.189189189189189
"52","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.00478547854785479,0.00087370484970571,0.0645199761478831,0.00296290672401633,"sine","any",0.189189189189189
"53","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.0045045045045045,0.00082240624250025,0.0858079904591532,0.00405169821056316,"sine","any",0.189189189189189
"54","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00365497076023392,0.000667303310800641,0.0573643410852713,0.00325449986858956,"sine","any",0.189189189189189
"55","BH","BH","","",NA,NA,0.0091639108584874,0.000798374689524584,0.0661896243291592,0.00347306185758377,"sine","any",0.210526315789474
"56","LAWS","LAWS","","",NA,NA,0.0467303423956518,0.00354458027028011,0.21216457960644,0.0067208246123036,"sine","any",0.210526315789474
"57","SABHA","SABHA","","",NA,NA,0.0435949076860068,0.00326980595830884,0.164758497316637,0.00697336642743317,"sine","any",0.210526315789474
"58","FOCR-O3-RAW","FOCR (overlap)","3","",NA,NA,0.0104177014802673,0.000841091658816706,0.0967799642218247,0.00485496484768736,"sine","any",0.210526315789474
"59","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00498227047410516,0.000736532961717032,0.0630292188431723,0.00334596079000161,"sine","any",0.210526315789474
"60","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00681370346911352,0.000744143676069216,0.069886702444842,0.00379196969174396,"sine","any",0.210526315789474
"61","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.006336462275517,0.000772041968095983,0.0621347644603459,0.00342531812928555,"sine","any",0.210526315789474
"62","FOCR-D3-RAW","FOCR (disjoint)","3","",NA,NA,0.0084346983709232,0.000808349137477328,0.0752534287418008,0.00376210400659414,"sine","any",0.210526315789474
"63","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00579020781467945,0.000873384566800054,0.0461538461538462,0.00253432491345223,"sine","any",0.210526315789474
"64","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00650158017298736,0.0010159810436866,0.0505664877757901,0.00280058573292106,"sine","any",0.210526315789474
"65","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00568775434702183,0.000855988380232795,0.0462134764460346,0.00258783449530581,"sine","any",0.210526315789474
