"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.0252871658849153,0.000842226446854345,0.312641621943948,0.00208189468786302,"sine","exponential",0.166666666666667
"2","LAWS","LAWS","","",NA,NA,0.0333986405165384,0.000925181536944719,0.399522957662493,0.00179693286277443,"sine","exponential",0.166666666666667
"3","SABHA","SABHA","","",NA,NA,0.0368800521726431,0.000936535133158879,0.389683959451401,0.00195408004951474,"sine","exponential",0.166666666666667
"4","FOCR-O3-RAW","FOCR (overlap)","3","",0.0208397558014684,0.000798896283604756,0.0314904516611915,0.0010661149303094,0.369707811568277,0.00200574383413058,"sine","exponential",0.166666666666667
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0129062387200678,0.000753436331602088,0.299165175909362,0.00209966398730172,"sine","exponential",0.166666666666667
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0163710908773758,0.000808350181296673,0.320214669051878,0.00205201594163952,"sine","exponential",0.166666666666667
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0138331356506786,0.000789038101757785,0.304591532498509,0.0021475432986612,"sine","exponential",0.166666666666667
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0207361500548322,0.000899629494466068,0.0211730933272185,0.000932063399569368,0.331484794275492,0.00200463196338901,"sine","exponential",0.166666666666667
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00736622121824877,0.000476257480449077,0.262909958258795,0.00204971318739909,"sine","exponential",0.166666666666667
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0120772927351417,0.000694851338903839,0.284257602862254,0.00211117545314329,"sine","exponential",0.166666666666667
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00949730825240705,0.000579090594469464,0.272748956469887,0.00222454219448472,"sine","exponential",0.166666666666667
"12","FOCR-O11-RAW","FOCR (overlap)","11","",0.0249593366612459,0.00121004110841552,0.0451878701104937,0.00175803933595044,0.508467501490757,0.00256085758563574,"sine","exponential",0.166666666666667
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0258748180020948,0.00128742934302681,0.384853905784138,0.00178161029990614,"sine","exponential",0.166666666666667
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0309539057475657,0.00146465213002638,0.434347048300537,0.00216644214553909,"sine","exponential",0.166666666666667
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0261399962052617,0.00131857793996785,0.407930828861061,0.00221558121388677,"sine","exponential",0.166666666666667
"16","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0291128791063824,0.00141187167084465,0.0305558805493838,0.00152171324780722,0.401967799642218,0.00227654022822932,"sine","exponential",0.166666666666667
"17","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0168694309772228,0.00111914980588128,0.350327966607036,0.00192391689288656,"sine","exponential",0.166666666666667
"18","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0198995110556907,0.00127535056973292,0.36768038163387,0.00207676746944748,"sine","exponential",0.166666666666667
"19","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.0139132445348886,0.000989807400719448,0.350983899821109,0.00209625768740117,"sine","exponential",0.166666666666667
"20","FOCR-O21-RAW","FOCR (overlap)","21","",0.0230528048733477,0.00125185780371156,0.0758057186236532,0.00194739237710735,0.610196779964222,0.00305598000468751,"sine","exponential",0.166666666666667
"21","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0201602803378962,0.00106774476869521,0.37984496124031,0.00162116159002822,"sine","exponential",0.166666666666667
"22","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0261781713777677,0.00126930850674065,0.465712581991652,0.00223677786156611,"sine","exponential",0.166666666666667
"23","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0197712278051,0.00113040351721332,0.42850327966607,0.00216391269651788,"sine","exponential",0.166666666666667
"24","FOCR-D21-RAW","FOCR (disjoint)","21","",0.0267451094656977,0.00161783616643019,0.0397032252424409,0.00165618475969739,0.456946929039952,0.00238385848426437,"sine","exponential",0.166666666666667
"25","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.0148416629429373,0.00102793200733783,0.361657722122838,0.00177342584813122,"sine","exponential",0.166666666666667
"26","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.015594018099074,0.00118369137109407,0.395706618962433,0.00197165283427057,"sine","exponential",0.166666666666667
"27","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.0121765779460043,0.000896214407942298,0.365354800238521,0.00198906832051462,"sine","exponential",0.166666666666667
"28","BH","BH","","",NA,NA,0.0263497700053047,0.000724807541295711,0.415563506261181,0.00169502222846772,"sine","exponential",0.189189189189189
"29","LAWS","LAWS","","",NA,NA,0.0395188900653418,0.000923214085430101,0.471317829457364,0.00204397744502945,"sine","exponential",0.189189189189189
"30","SABHA","SABHA","","",NA,NA,0.0400937303483452,0.000852996654518067,0.473225998807394,0.00185867517071888,"sine","exponential",0.189189189189189
"31","FOCR-O3-RAW","FOCR (overlap)","3","",0.0237999430759718,0.000785977805151168,0.0322769745801837,0.000935991942015559,0.471258199165176,0.0019196166291096,"sine","exponential",0.189189189189189
"32","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0153646296600294,0.000802370308131271,0.407692307692308,0.00177164577885746,"sine","exponential",0.189189189189189
"33","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0200116642553975,0.000816959811007215,0.425283243887895,0.00179697380300919,"sine","exponential",0.189189189189189
"34","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0168867277894424,0.000788604716591531,0.415086463923673,0.00182812841894069,"sine","exponential",0.189189189189189
"35","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0246022425499613,0.000827919036852176,0.0248800203277391,0.000843932641870067,0.434048896839595,0.00173026966413373,"sine","exponential",0.189189189189189
"36","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.0117870493468314,0.000671614893520948,0.371377459749553,0.00165471791558878,"sine","exponential",0.189189189189189
"37","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0144121476268047,0.000745605878935497,0.395289206917114,0.0016768648387562,"sine","exponential",0.189189189189189
"38","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.0125059376615775,0.000726946437783129,0.386583184257603,0.00171817113683788,"sine","exponential",0.189189189189189
"39","FOCR-O11-RAW","FOCR (overlap)","11","",0.0257286027465603,0.000926587116039297,0.0526686640209498,0.00155591391478397,0.602385211687537,0.00236211824131265,"sine","exponential",0.189189189189189
"40","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0248287408504552,0.000936389151447585,0.473881932021467,0.00172933874084282,"sine","exponential",0.189189189189189
"41","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0306655748427233,0.0010730942718899,0.521049493142516,0.00191682012226115,"sine","exponential",0.189189189189189
"42","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0259684053947963,0.000998244692116967,0.503577817531306,0.00199122877373992,"sine","exponential",0.189189189189189
"43","FOCR-D11-RAW","FOCR (disjoint)","11","",0.024520414294223,0.00106980286509846,0.0278350659819462,0.00117593028250698,0.503220035778175,0.00220691258865624,"sine","exponential",0.189189189189189
"44","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0150216516144327,0.00087711995121314,0.442397137745975,0.00180508997886745,"sine","exponential",0.189189189189189
"45","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0156384382120086,0.000935423526194001,0.466070363744782,0.00201528201944226,"sine","exponential",0.189189189189189
"46","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.0131475691613849,0.000833551920505601,0.451520572450805,0.00202788950728946,"sine","exponential",0.189189189189189
"47","FOCR-O21-RAW","FOCR (overlap)","21","",0.0205477499705103,0.000949512940304233,0.0831458613939673,0.0015049530783292,0.705485986881336,0.00258747437866508,"sine","exponential",0.189189189189189
"48","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0160532353199855,0.000819806237507912,0.465295169946333,0.00172742333791177,"sine","exponential",0.189189189189189
"49","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0230718618463459,0.00109430426177091,0.53613595706619,0.00205942083792063,"sine","exponential",0.189189189189189
"50","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0184774339462108,0.000978129163242072,0.506917113893858,0.00213135596235345,"sine","exponential",0.189189189189189
"51","FOCR-D21-RAW","FOCR (disjoint)","21","",0.0234857203751066,0.00124338012050865,0.0481736646101522,0.00136005436400233,0.557543231961837,0.00241531663283345,"sine","exponential",0.189189189189189
"52","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.0116736461401039,0.000708022355448192,0.445438282647585,0.00182641844862329,"sine","exponential",0.189189189189189
"53","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.0106666511006513,0.000721320697450698,0.474955277280859,0.00206367932182308,"sine","exponential",0.189189189189189
"54","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00939905903329155,0.000622572936766144,0.453726893261777,0.00211599816130227,"sine","exponential",0.189189189189189
"55","BH","BH","","",NA,NA,0.0190307958498924,0.000574389255480061,0.467322599880739,0.00152765661687847,"sine","exponential",0.210526315789474
"56","LAWS","LAWS","","",NA,NA,0.0272849265551577,0.000773845992604138,0.515444245676804,0.00189000964830856,"sine","exponential",0.210526315789474
"57","SABHA","SABHA","","",NA,NA,0.0309925176157634,0.000785958086445303,0.516815742397138,0.00178371613558292,"sine","exponential",0.210526315789474
"58","FOCR-O3-RAW","FOCR (overlap)","3","",0.017582526315466,0.00063668369783743,0.0258765493173346,0.000895728120932346,0.518187239117472,0.00161069046156667,"sine","exponential",0.210526315789474
"59","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00701905862446356,0.000332123932117077,0.461061419200954,0.00156885734759404,"sine","exponential",0.210526315789474
"60","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0119891786986689,0.000474038166815084,0.478056052474657,0.00161474659025883,"sine","exponential",0.210526315789474
