"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.0251182213651849,0.000415015178767255,0.327608825283244,0.000729602265564962,"sine","iid",0.166666666666667
"2","LAWS","LAWS","","",NA,NA,0.0246026769064468,0.000506822993261572,0.401311866428145,0.00074975923032691,"sine","iid",0.166666666666667
"3","SABHA","SABHA","","",NA,NA,0.0336324859326725,0.000488783325153539,0.389862850327967,0.000803684005872123,"sine","iid",0.166666666666667
"4","FOCR-O3-RAW","FOCR (overlap)","3","",0.0212274009848935,0.000447603394866194,0.038318735663824,0.000765931785308141,0.574180083482409,0.000919862476541411,"sine","iid",0.166666666666667
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00213826373735257,0.000133380387122198,0.358139534883721,0.00065647508381743,"sine","iid",0.166666666666667
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0066643722614494,0.000246328198010055,0.454680977936792,0.000716947258913867,"sine","iid",0.166666666666667
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00282610429939304,0.000166490785724934,0.432558139534884,0.000756769419477846,"sine","iid",0.166666666666667
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0205853921201622,0.000461798228089675,0.020826938013882,0.000471040011423374,0.50113297555158,0.000740941839337149,"sine","iid",0.166666666666667
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00126625008847531,9.04536229242424e-05,0.33005366726297,0.000706032871055255,"sine","iid",0.166666666666667
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00306106628199641,0.000154507987893309,0.406261180679785,0.000723800933320077,"sine","iid",0.166666666666667
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00142438721975151,9.56430365001593e-05,0.383720930232558,0.000830516954918598,"sine","iid",0.166666666666667
"12","FOCR-O11-RAW","FOCR (overlap)","11","",0.0152401109132125,0.000578853160007354,0.050934476277193,0.00145371718356615,0.736612999403697,0.00122972714568614,"sine","iid",0.166666666666667
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00293768403141444,0.000235081179748571,0.378950506857484,0.000519392565336412,"sine","iid",0.166666666666667
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.00152756100998547,0.000116302890966889,0.48974358974359,0.000726224959555838,"sine","iid",0.166666666666667
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.00177153852601238,0.000152776105909142,0.446511627906977,0.000785891399037615,"sine","iid",0.166666666666667
