"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.0214164339162495,0.00150922225919683,0.336255217650566,0.00332592191588447,"sine","matern",0.166666666666667
"2","LAWS","LAWS","","",NA,NA,0.0738392340359809,0.00310152874687947,0.435897435897436,0.00373670768541013,"sine","matern",0.166666666666667
"3","SABHA","SABHA","","",NA,NA,0.0669221234331916,0.00290187954976019,0.4391771019678,0.00392007694813719,"sine","matern",0.166666666666667
"4","FOCR-O3-RAW","FOCR (overlap)","3","",0.0203528456365944,0.00152914515846068,0.021537423362168,0.00156243609633012,0.336016696481813,0.00357099409421099,"sine","matern",0.166666666666667
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0187188698066675,0.00153329437534891,0.268217054263566,0.00358845748369199,"sine","matern",0.166666666666667
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0200987052416315,0.00160385737192851,0.287418008348241,0.00371152080869442,"sine","matern",0.166666666666667
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0192668471100758,0.00155515313737163,0.279308288610614,0.00381793621763825,"sine","matern",0.166666666666667
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0206388179072499,0.00157473451451189,0.0207477503691236,0.00157399843236689,0.325521765056649,0.00334639317336635,"sine","matern",0.166666666666667
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.0176487150335187,0.00154030139425763,0.254323196183661,0.00351217318229862,"sine","matern",0.166666666666667
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0193509141660937,0.00156963342936593,0.2768038163387,0.00363567544952643,"sine","matern",0.166666666666667
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.0188394954926977,0.0015605513215768,0.269111508646392,0.00371965025899158,"sine","matern",0.166666666666667
"12","FOCR-O11-RAW","FOCR (overlap)","11","",0.0178707342383929,0.00145255347310751,0.0245648731294574,0.00163749875754799,0.401371496720334,0.00378003713697347,"sine","matern",0.166666666666667
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0234762669077731,0.00167382043077164,0.375313059033989,0.00348020004247907,"sine","matern",0.166666666666667
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0232193065585427,0.001644244326155,0.378115682766846,0.00351501377370921,"sine","matern",0.166666666666667
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.022370268767361,0.00164599542743351,0.363744782349434,0.00353958466085575,"sine","matern",0.166666666666667
"16","FOCR-D11-RAW","FOCR (disjoint)","11","",0.017379276814556,0.00147623461641167,0.01912071719236,0.00151540548497049,0.338163387000596,0.00358851044473936,"sine","matern",0.166666666666667
"17","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0188229520477104,0.00153424506030339,0.313834227787716,0.00345620508770507,"sine","matern",0.166666666666667
"18","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0197036132727893,0.00158414335395843,0.324508050089445,0.00348488972431143,"sine","matern",0.166666666666667
"19","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.0187478163401607,0.0014919439082376,0.314549791293977,0.00350497417695108,"sine","matern",0.166666666666667
"20","FOCR-O21-RAW","FOCR (overlap)","21","",0.016240989909817,0.00138437817983066,0.0418418675377429,0.00198643730903612,0.472212283840191,0.00420696366147271,"sine","matern",0.166666666666667
"21","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0241962630831617,0.00170426537032375,0.395766249254621,0.00327858856028563,"sine","matern",0.166666666666667
"22","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0282513135405433,0.00181240715705132,0.415384615384615,0.0035343870860572,"sine","matern",0.166666666666667
"23","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0259316146622192,0.00172993708037451,0.38974358974359,0.00366622997907358,"sine","matern",0.166666666666667
"24","FOCR-D21-RAW","FOCR (disjoint)","21","",0.0153944946085737,0.00148857974409257,0.0328745143528516,0.00197606121043772,0.355217650566488,0.00356248929796648,"sine","matern",0.166666666666667
"25","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.0231192615023821,0.00175152486524159,0.336851520572451,0.00334451177623156,"sine","matern",0.166666666666667
"26","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.0232620857811912,0.00173072924744991,0.337805605247466,0.00336971042717034,"sine","matern",0.166666666666667
"27","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.0203504811390305,0.00162984393282422,0.326296958855098,0.00338418008780461,"sine","matern",0.166666666666667
"28","BH","BH","","",NA,NA,0.0214208888178236,0.00119162152942986,0.407573047107931,0.00238819561946255,"sine","matern",0.189189189189189
"29","LAWS","LAWS","","",NA,NA,0.0764034459413634,0.00286686025165543,0.483005366726297,0.00266785099064022,"sine","matern",0.189189189189189
"30","SABHA","SABHA","","",NA,NA,0.0544365434520565,0.00214213812907396,0.490936195587358,0.00280175663347999,"sine","matern",0.189189189189189
"31","FOCR-O3-RAW","FOCR (overlap)","3","",0.0169241110407543,0.00110063421322617,0.019479112908442,0.00119567523462283,0.413834227787716,0.00250238254474518,"sine","matern",0.189189189189189
"32","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0069875238507314,0.000607524009420474,0.349493142516398,0.00240137448057587,"sine","matern",0.189189189189189
"33","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0112299355635542,0.000847558972578857,0.368753726893262,0.00241914126291203,"sine","matern",0.189189189189189
"34","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0112448970928425,0.000857348046143127,0.363804412641622,0.00245495087477288,"sine","matern",0.189189189189189
"35","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0169596277071926,0.00107606198293838,0.0174033357068244,0.00110165416675906,0.398389982110912,0.00244898350439198,"sine","matern",0.189189189189189
"36","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00524074659384469,0.000477309368418141,0.333750745378652,0.00231019763740226,"sine","matern",0.189189189189189
