"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.00571428571428571,0.000903507902905251,0.0100615114235501,0.000660213138710998,"step","AR",0.1
"2","LAWS","LAWS","","",NA,NA,0.108104701587877,0.00330328653502656,0.143145869947276,0.00407620032959327,"step","AR",0.1
"3","SABHA","SABHA","","",NA,NA,0.0675946012246201,0.00287673300103201,0.098506151142355,0.00381402324900685,"step","AR",0.1
"4","FOCR-O3-RAW","FOCR (overlap)","3","",0.00491803278688525,0.000777609260697142,0.00581278538812785,0.000866629102973303,0.0101493848857645,0.000772784943479224,"step","AR",0.1
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00763888888888889,0.00120781438409209,0.00487697715289982,0.000344881632055494,"step","AR",0.1
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00826576576576577,0.00117917207172546,0.00492091388400703,0.000357940742247159,"step","AR",0.1
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0075,0.00118585412256314,0.0039103690685413,0.000297242912260805,"step","AR",0.1
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",0.00476190476190476,0.000752923252421043,0.0068452380952381,0.000814052581693568,0.00957820738137083,0.000623422997138479,"step","AR",0.1
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.009,0.00142302494707577,0.00298769771528998,0.000222749105014394,"step","AR",0.1
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00865384615384615,0.00136829321834209,0.00285588752196837,0.000223301182630169,"step","AR",0.1
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00909090909090909,0.00143739893644017,0.0023286467486819,0.000186245049938324,"step","AR",0.1
"12","FOCR-O11-RAW","FOCR (overlap)","11","",0.00630841121495327,0.00099744739281012,0.0137794667983464,0.00132596995533914,0.0270210896309315,0.00165251142496871,"step","AR",0.1
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0101460454283519,0.00105548848217493,0.0229349736379613,0.00133692973184483,"step","AR",0.1
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0101967423567433,0.00104953128350467,0.0235940246045694,0.00141194373841248,"step","AR",0.1
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.00610847457627119,0.000873696180488422,0.0180579964850615,0.00121137416657326,"step","AR",0.1
"16","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0075,0.00118585412256314,0.0129161747343566,0.00129809670044282,0.0193321616871705,0.00107360094556315,"step","AR",0.1
"17","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.00983937937062937,0.00101316145145656,0.0155096660808436,0.000880585198200816,"step","AR",0.1
"18","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.00998425274078595,0.00100989478705136,0.015377855887522,0.00091319425636788,"step","AR",0.1
"19","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.0056547619047619,0.000894096362249988,0.0115553602811951,0.000828512055531942,"step","AR",0.1
"20","FOCR-O21-RAW","FOCR (overlap)","21","",0.0049618320610687,0.000784534534011239,0.0225144813342811,0.00143778321676573,0.0430140597539543,0.00225906606131293,"step","AR",0.1
"21","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0116650254553319,0.000953652565645439,0.0301405975395431,0.0015912243565597,"step","AR",0.1
"22","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0137617475742588,0.00102172074621785,0.0359402460456942,0.00198682910045527,"step","AR",0.1
"23","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.00538086342880863,0.00073771767997314,0.0248242530755712,0.00171271446209148,"step","AR",0.1
"24","FOCR-D21-RAW","FOCR (disjoint)","21","",0.003125,0.000494105884401309,0.0177891156462585,0.00144380232794835,0.0321177504393673,0.00146777577252541,"step","AR",0.1
"25","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.012688261351052,0.0011804636571825,0.0273725834797891,0.00117503035346037,"step","AR",0.1
"26","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.01324016563147,0.0012432668952206,0.0287346221441125,0.00130073389141155,"step","AR",0.1
"27","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00573394495412844,0.000906616301653779,0.0135764499121265,0.000951745182016478,"step","AR",0.1
"28","FOCR-O41-RAW","FOCR (overlap)","41","",0.00280748663101604,0.000443902612724171,0.0413139610549666,0.00226608016390463,0.073725834797891,0.00337579683130475,"step","AR",0.1
"29","FOCR-O41-BH","FOCR (overlap)","41","BH",NA,NA,0.00786623035448727,0.000834337456484724,0.0302284710017575,0.00151072516936781,"step","AR",0.1
"30","FOCR-O41-LAWS","FOCR (overlap)","41","LAWS",NA,NA,0.0157675847350049,0.00107790792276355,0.0459138840070299,0.00226172011391926,"step","AR",0.1
"31","FOCR-O41-SABHA","FOCR (overlap)","41","SABHA",NA,NA,0.0049759198612984,0.000664207722728438,0.0258787346221441,0.00166656868176749,"step","AR",0.1
"32","FOCR-D41-RAW","FOCR (disjoint)","41","",0,0,0.018729674796748,0.00145214166253418,0.0503075571177504,0.00208340584718004,"step","AR",0.1
"33","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0.0114286743931269,0.00107569249812211,0.0257029876977153,0.00130673782853013,"step","AR",0.1
"34","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0.0134974013913408,0.00106297046205331,0.0312390158172232,0.00164105345864049,"step","AR",0.1
"35","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.00529861863488624,0.00072979383769486,0.0131810193321617,0.000981850400707048,"step","AR",0.1
"36","BH","BH","","",NA,NA,0.0277595865311737,0.0021571402831754,0.0471001757469244,0.00150951239085721,"step","AR",0.144444444444444
