"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.00960162912814133,0.00111699830777324,0.0212653778558875,0.0023741653481307,"step","any",0.166666666666667
"2","LAWS","LAWS","","",NA,NA,0.0680940336319057,0.00642808802639031,0.164089045108377,0.00894433805552221,"step","any",0.166666666666667
"3","SABHA","SABHA","","",NA,NA,0.0345271381750837,0.00269128053277509,0.136379613356766,0.00857033064107805,"step","any",0.166666666666667
"4","FOCR-O3-RAW","FOCR (overlap)","3","",NA,NA,0.0128139920564499,0.00148368930918362,0.0314001171646163,0.00336018519531828,"step","any",0.166666666666667
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00662153880439022,0.000950977621059746,0.017867603983597,0.00212083040434009,"step","any",0.166666666666667
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0071652984696463,0.00104339896780542,0.0220269478617458,0.0026456245462446,"step","any",0.166666666666667
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00662936075821738,0.00101220286422652,0.0187463386057411,0.00234779950216829,"step","any",0.166666666666667
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",NA,NA,0.0111988795518207,0.00129084680343519,0.0248388986526069,0.00275307763320251,"step","any",0.166666666666667
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00612636165577342,0.000900188129243815,0.0125951962507323,0.00157246145012648,"step","any",0.166666666666667
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00663874930206588,0.00102250962609324,0.0153485647334505,0.00197370990599747,"step","any",0.166666666666667
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00587012987012987,0.00085975076762488,0.0134153485647334,0.0017723870659601,"step","any",0.166666666666667
"12","FOCR-O11-RAW","FOCR (overlap)","11","",NA,NA,0.0256386431733432,0.00207670284297038,0.0844171060339777,0.00672562558827881,"step","any",0.166666666666667
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0114513832714793,0.00113822171526684,0.0411247803163445,0.00337529053339501,"step","any",0.166666666666667
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.015821831468833,0.00149084205945384,0.0644991212653779,0.00528574919048335,"step","any",0.166666666666667
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0135266590839485,0.00134888214565264,0.0517867603983597,0.00478567579320336,"step","any",0.166666666666667
"16","FOCR-D11-RAW","FOCR (disjoint)","11","",NA,NA,0.0176325410700411,0.00163258594892173,0.0552431165787932,0.00440107876597728,"step","any",0.166666666666667
