"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.0144007822592296,0.000655717834004006,0.140656121851201,0.00265913231521649,"step","exponential",0.166666666666667
"2","LAWS","LAWS","","",NA,NA,0.0422517782527931,0.00127520107548435,0.467428236672525,0.00414292273718722,"step","exponential",0.166666666666667
"3","SABHA","SABHA","","",NA,NA,0.0402964234881416,0.00111939257626091,0.405565319273579,0.00455038863309531,"step","exponential",0.166666666666667
"4","FOCR-O3-RAW","FOCR (overlap)","3","",NA,NA,0.0204125415573627,0.000719210473853247,0.201113063854716,0.00334458059178903,"step","exponential",0.166666666666667
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00800877778211501,0.000763487483183533,0.114879906268307,0.00256793836055338,"step","exponential",0.166666666666667
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0118887827274656,0.000816824942135513,0.135910954891623,0.00299315223239587,"step","exponential",0.166666666666667
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00298716920609463,0.000379228061865414,0.112888107791447,0.00272559992729016,"step","exponential",0.166666666666667
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",NA,NA,0.0135053412554581,0.000620947640410057,0.158347978910369,0.00298982992084503,"step","exponential",0.166666666666667
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.0022005184783264,0.000279737875342829,0.0812536613942589,0.00205966272313161,"step","exponential",0.166666666666667
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0022962497381102,0.000298436272221878,0.0944932630345636,0.00253296202990672,"step","exponential",0.166666666666667
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00234343434343434,0.000300288693142744,0.0806678383128295,0.0023034278529482,"step","exponential",0.166666666666667
"12","FOCR-O11-RAW","FOCR (overlap)","11","",0.00979482373820848,0.000758105186125541,0.0594971172828584,0.00230474454902622,0.428588166373755,0.00445684430507927,"step","exponential",0.166666666666667
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0217702348169304,0.00142765787074477,0.253661394258934,0.00296163326208996,"step","exponential",0.166666666666667
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0295606743605478,0.00177695049050934,0.340773286467487,0.00396299680646128,"step","exponential",0.166666666666667
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0164814013374995,0.00091048680966391,0.291271236086702,0.0039697869631029,"step","exponential",0.166666666666667
"16","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0121747662382337,0.000876037184612819,0.0467415860791177,0.00288250349589726,0.30099589923843,0.003960236147046,"step","exponential",0.166666666666667
"17","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0237473159578091,0.00278914755595102,0.213708260105448,0.00295480322490346,"step","exponential",0.166666666666667
"18","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0211654764529364,0.00210222705277003,0.247920328060926,0.00349680978123616,"step","exponential",0.166666666666667
