"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.0583333333333333,0.00486187417698366,0.00307557117750439,9.53045144437494e-05,"step","iid",0.1
"2","LAWS","LAWS","","",NA,NA,0.0189880952380952,0.00171218623028047,0.0086115992970123,0.000231809033425228,"step","iid",0.1
"3","SABHA","SABHA","","",NA,NA,0.0469065656565657,0.00317997945207686,0.00448154657293497,0.000133470830281496,"step","iid",0.1
"4","FOCR-O3-RAW","FOCR (overlap)","3","",0.00357142857142857,0.000564692439315782,0.00576923076923077,0.000912195478894725,0.0108084358523726,0.000385934629507089,"step","iid",0.1
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0,0,0.000483304042179262,3.7211783570125e-05,"step","iid",0.1
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0,0,0.000131810193321617,2.08410214861712e-05,"step","iid",0.1
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0,0,0,0,"step","iid",0.1
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0208333333333333,0.00234708630062128,0.0208333333333333,0.00234708630062128,0.00698594024604569,0.000260881233766193,"step","iid",0.1
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0,0,0.000175746924428823,2.17987231263987e-05,"step","iid",0.1
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0,0,0,0,"step","iid",0.1
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0,0,0,0,"step","iid",0.1
"12","FOCR-O11-RAW","FOCR (overlap)","11","",0.00350623123123123,0.000312374325871015,0.0154796495762694,0.00077940114874941,0.153075571177504,0.00336880794208936,"step","iid",0.1
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0,0,0.00250439367311072,8.61023694366258e-05,"step","iid",0.1
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0,0,0.00619507908611599,0.000202687956557997,"step","iid",0.1
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0,0,0.000219683655536028,1.77637860294956e-05,"step","iid",0.1
"16","FOCR-D11-RAW","FOCR (disjoint)","11","",0.00714285714285714,0.000788290813796972,0.0145806277056277,0.00089841173150272,0.0898066783831283,0.00166964914567175,"step","iid",0.1
"17","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0,0,0.00162565905096661,7.60274416801438e-05,"step","iid",0.1
"18","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0,0,0.00281195079086116,0.000143772453385377,"step","iid",0.1
"19","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0,0,8.78734622144112e-05,1.38940143241141e-05,"step","iid",0.1
"20","FOCR-O21-RAW","FOCR (overlap)","21","",0.00273282648091517,0.000290398081700188,0.0423937652216879,0.00111546744747763,0.402855887521968,0.00500954316205253,"step","iid",0.1
"21","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0025,0.000395284707521047,0.00246045694200351,9.78922059571207e-05,"step","iid",0.1
"22","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0,0,0.00764499121265378,0.000230255730972882,"step","iid",0.1
"23","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0,0,0.000746924428822496,5.34768005213122e-05,"step","iid",0.1
"24","FOCR-D21-RAW","FOCR (disjoint)","21","",0.00178571428571429,0.000282346219657891,0.0156409430516573,0.000692897395038702,0.214015817223199,0.00355429622652237,"step","iid",0.1
"25","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0,0,0.0015817223198594,6.50927052388416e-05,"step","iid",0.1
"26","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0,0,0.00478910369068541,0.000178814731150559,"step","iid",0.1
"27","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0,0,0.000131810193321617,1.53738318508477e-05,"step","iid",0.1
"28","FOCR-O41-RAW","FOCR (overlap)","41","",7.06214689265537e-05,1.11662346757358e-05,0.0848964671223136,0.00131675875897494,0.61823374340949,0.00482634272660318,"step","iid",0.1
"29","FOCR-O41-BH","FOCR (overlap)","41","BH",NA,NA,0.025,0.00395284707521047,0.00268014059753954,8.55834152201067e-05,"step","iid",0.1
"30","FOCR-O41-LAWS","FOCR (overlap)","41","LAWS",NA,NA,0.00625,0.000988211768802618,0.00632688927943761,0.000166133349544161,"step","iid",0.1
"31","FOCR-O41-SABHA","FOCR (overlap)","41","SABHA",NA,NA,0,0,0.00162565905096661,7.4048508980359e-05,"step","iid",0.1
"32","FOCR-D41-RAW","FOCR (disjoint)","41","",0,0,0.0204353420969275,0.000718066567562756,0.426449912126538,0.00372243582967266,"step","iid",0.1
"33","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0,0,0.00294376098418278,9.2477459306322e-05,"step","iid",0.1
"34","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0,0,0.00500878734622144,0.000145398599875039,"step","iid",0.1
"35","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0,0,0.000527240773286467,2.6697874351942e-05,"step","iid",0.1
"36","BH","BH","","",NA,NA,0.0304808397012344,0.00114681053562398,0.0202108963093146,0.000306024364540824,"step","iid",0.144444444444444
"37","LAWS","LAWS","","",NA,NA,0.0190370017269838,0.00055729114500414,0.125659050966608,0.00112704352709848,"step","iid",0.144444444444444
"38","SABHA","SABHA","","",NA,NA,0.034086989694016,0.000845818005929511,0.0682337434094903,0.00074986020028041,"step","iid",0.144444444444444
"39","FOCR-O3-RAW","FOCR (overlap)","3","",0.0142050859372107,0.000412530738236271,0.0210032995820488,0.000534664469141463,0.21792618629174,0.00176760741288897,"step","iid",0.144444444444444
"40","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0,0,0.00834797891036907,0.000208647584203866,"step","iid",0.144444444444444
"41","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00460138520483348,0.000476484181994837,0.0300087873462214,0.00061329190361238,"step","iid",0.144444444444444
"42","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0,0,0.00382249560632689,0.000139610958531001,"step","iid",0.144444444444444
