"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"1","BH","BH","","",NA,NA,0.0333333333333333,0.00413449115297362,0.0101054481546573,0.000634581728732774,"step","matern",0.1
"2","LAWS","LAWS","","",NA,NA,0.171635192876928,0.00558958460448903,0.175483304042179,0.00473478216719098,"step","matern",0.1
"3","SABHA","SABHA","","",NA,NA,0.132815028859414,0.00568867281910595,0.140202108963093,0.00470760623303239,"step","matern",0.1
"4","FOCR-O3-RAW","FOCR (overlap)","3","",0.0344594594594595,0.00419032773520653,0.0363856589147287,0.00418414478175736,0.00874340949033392,0.000584454444806336,"step","matern",0.1
"5","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.025,0.00395284707521047,0.00272407732864675,0.000214080682583677,"step","matern",0.1
"6","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.025,0.00395284707521047,0.00228471001757469,0.000204199473438001,"step","matern",0.1
"7","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.025,0.00395284707521047,0.00202108963093146,0.000180896022311003,"step","matern",0.1
"8","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0346153846153846,0.00419859561379816,0.0346153846153846,0.00419859561379816,0.00830404217926186,0.000567830194471129,"step","matern",0.1
"9","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.025,0.00395284707521047,0.00250439367311072,0.000195705389473033,"step","matern",0.1
"10","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0,0,0.00210896309314587,0.00018830993235057,"step","matern",0.1
"11","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0,0,0.00180140597539543,0.000161506663391581,"step","matern",0.1
"12","FOCR-O11-RAW","FOCR (overlap)","11","",0.0337209302325581,0.00415293253116342,0.0408095429952803,0.00418464167876869,0.0118189806678383,0.000775885243148305,"step","matern",0.1
"13","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0408026503511853,0.00419854656155794,0.00971001757469244,0.000625407758285595,"step","matern",0.1
"14","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0408026503511853,0.00419854656155794,0.0103690685413005,0.000667654476641312,"step","matern",0.1
"15","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0377849210987726,0.00417472556735951,0.00869947275922671,0.000556557126666951,"step","matern",0.1
"16","FOCR-D11-RAW","FOCR (disjoint)","11","",0.035,0.00421953637020552,0.0384090909090909,0.00423580720432084,0.0100175746924429,0.000575210299863252,"step","matern",0.1
"17","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0384090909090909,0.00423580720432084,0.00808435852372584,0.00048323234522539,"step","matern",0.1
"18","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0384090909090909,0.00423580720432084,0.00808435852372584,0.00048323234522539,"step","matern",0.1
"19","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.036996336996337,0.00420288768788938,0.00698594024604569,0.000407268698417854,"step","matern",0.1
"20","FOCR-O21-RAW","FOCR (overlap)","21","",0.0333333333333333,0.00413449115297362,0.0469607843137255,0.00439178973340836,0.0187170474516696,0.0011489460031209,"step","matern",0.1
"21","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0438582920792079,0.00428436732316285,0.0177504393673111,0.00109051730067278,"step","matern",0.1
